clean_id,noise_id,category,snr_db,seed,output_path,clean_ref_path,subtype,duration_sec,achieved_snr_db,snr_dev_db,norm_factor,rir_rt60_sec,clip_frac
2035-147961-0027.flac,3-119455-A-44.wav,stationary,-5.0,43,data/mixtures\mix_stationary_engine_-5dB_0001.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0001.wav,engine,2.875,-5.0,0.0,1.0,0.0,1.0
2277-149874-0018.flac,4-186962-A-44.wav,stationary,-5.0,44,data/mixtures\mix_stationary_engine_-5dB_0002.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0002.wav,engine,5.02,-5.0,0.0,1.0,0.0,1.0
2277-149896-0027.flac,2-106486-A-44.wav,stationary,-5.0,45,data/mixtures\mix_stationary_engine_-5dB_0003.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0003.wav,engine,3.595,-5.0,0.0,1.0,0.0,1.0
2277-149896-0029.flac,3-115382-A-44.wav,stationary,-5.0,46,data/mixtures\mix_stationary_vehicle_-5dB_0004.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0004.wav,vehicle,2.6,-5.0,0.0,1.0,0.0,1.0
2277-149896-0025.flac,5-243773-A-44.wav,stationary,-5.0,47,data/mixtures\mix_stationary_engine_-5dB_0005.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0005.wav,engine,3.4,-5.0,0.0,1.0,0.0,1.0
2035-147960-0016.flac,5-235507-A-44.wav,stationary,-5.0,48,data/mixtures\mix_stationary_vehicle_-5dB_0006.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0006.wav,vehicle,4.895,-5.0,0.0,0.983136,0.0,1.0
2277-149896-0003.flac,5-235507-A-44.wav,stationary,-5.0,49,data/mixtures\mix_stationary_engine_-5dB_0007.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0007.wav,engine,2.84,-5.0,0.0,1.0,0.0,1.0
2277-149896-0011.flac,1-62565-A-44.wav,stationary,-5.0,50,data/mixtures\mix_stationary_vehicle_-5dB_0008.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0008.wav,vehicle,4.465,-5.0,0.0,1.0,0.0,1.0
2277-149874-0013.flac,2-78651-A-44.wav,stationary,-5.0,51,data/mixtures\mix_stationary_vehicle_-5dB_0009.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0009.wav,vehicle,3.16,-5.0,0.0,0.855663,0.0,1.0
2277-149897-0016.flac,2-78651-A-44.wav,stationary,-5.0,52,data/mixtures\mix_stationary_engine_-5dB_0010.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0010.wav,engine,6.54,-5.0,0.0,0.753981,0.0,1.0
2277-149874-0013.flac,5-209992-A-44.wav,stationary,-5.0,53,data/mixtures\mix_stationary_engine_-5dB_0011.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0011.wav,engine,3.16,-5.0,0.0,1.0,0.0,1.0
2277-149874-0000.flac,5-209992-A-44.wav,stationary,-5.0,54,data/mixtures\mix_stationary_vehicle_-5dB_0012.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0012.wav,vehicle,15.505,-5.0,0.0,1.0,0.0,1.0
2035-147961-0040.flac,5-235507-A-44.wav,stationary,-5.0,55,data/mixtures\mix_stationary_vehicle_-5dB_0013.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0013.wav,vehicle,4.94,-5.0,0.0,1.0,0.0,1.0
2035-152373-0014.flac,3-141240-A-44.wav,stationary,-5.0,56,data/mixtures\mix_stationary_engine_-5dB_0014.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0014.wav,engine,7.35,-5.0,0.0,0.885203,0.0,1.0
2277-149897-0031.flac,4-195451-A-44.wav,stationary,-5.0,57,data/mixtures\mix_stationary_engine_-5dB_0015.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0015.wav,engine,4.405,-5.0,0.0,1.0,0.0,1.0
2277-149896-0017.flac,2-107228-B-44.wav,stationary,-5.0,58,data/mixtures\mix_stationary_engine_-5dB_0016.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0016.wav,engine,4.985,-5.0,0.0,1.0,0.0,1.0
2035-152373-0014.flac,2-106487-A-44.wav,stationary,-5.0,59,data/mixtures\mix_stationary_engine_-5dB_0017.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0017.wav,engine,7.35,-5.0,0.0,1.0,0.0,1.0
2277-149874-0002.flac,4-186962-A-44.wav,stationary,-5.0,60,data/mixtures\mix_stationary_engine_-5dB_0018.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0018.wav,engine,5.095,-5.0,0.0,1.0,0.0,1.0
2277-149896-0001.flac,5-240671-A-44.wav,stationary,-5.0,61,data/mixtures\mix_stationary_vehicle_-5dB_0019.wav,data/mixtures\clean_ref_stationary_vehicle_-5dB_0019.wav,vehicle,7.145,-5.0,0.0,1.0,0.0,1.0
